HCPCS_Cd,HCPCS_Desc,Brnd_Name,Gnrc_Name,year,Tot_Spndng,Tot_Dsg_Unts,Tot_Benes,Avg_Spndng_Per_Dsg_Unt,Avg_Spndng_Per_Clm,Avg_Spndng_Per_Bene,Tot_Clms,Outlier_Flag
J0702_2019,"Injection, betamethasone acetate 3 mg and betamethasone sodium phosphate 3 mg",Betamethasone Sod Phos-Acetate*,"Betamethasone Acetate,sod Phos*",2019,18325364.33,2713292.8,719903.0,6.7539206716,16.874417538,25.455324301,1085985.0,0.0
J0703_2019,"Injection, cefepime hydrochloride (b braun), not therapeutically equivalent to maxipime, 500 mg",Cefepime-Dextrose,Cefepime HCL In Dextrose 5 %,2019,\N,\N,\N,\N,\N,\N,\N,\N
J0712_2019,"Injection, ceftaroline fosamil, 10 mg",Teflaro,Ceftaroline Fosamil Acetate,2019,745709.17,284314.0,581.0,2.6228366173,500.8120685,1283.4925473,1489.0,0.0
J0713_2019,"Injection, ceftazidime, per 500 mg",Ceftazidime*,Ceftazidime*,2019,83790.24,42127.4,3433.0,1.9889724977,10.47378,24.407293912,8000.0,0.0
J0714_2019,"Injection, ceftazidime and avibactam, 0.5 g/0.125 g",Avycaz,Ceftazidime/Avibactam,2019,799787.08,10029.0,182.0,79.747440423,1659.3092946,4394.4345055,482.0,0.0
J0717_2019,"Injection, certolizumab pegol, 1 mg (code may be used for medicare when drug administered under the direct supervision of a physician, not for use when drug is self administered)",Cimzia,Certolizumab Pegol,2019,439327657.6,57113555.0,18236.0,7.692178461,2993.2049573,24091.229305,146775.0,0.0
J0725_2019,"Injection, chorionic gonadotropin, per 1,000 usp units",Chorionic Gonadotropin*,"Chorionic Gonadotropin, Human*",2019,385052.03,17822.0,420.0,21.605433172,57.436161993,916.79054762,6704.0,0.0
J0735_2019,"Injection, clonidine hydrochloride, 1 mg",Clonidine HCL*,Clonidine HCL/PF*,2019,203966.62,14486.6,2916.0,14.07967501,38.718037206,69.947400549,5268.0,0.0
J0736_2019,"Injection, clindamycin phosphate, 300 mg",Cleocin Phosphate*,Clindamycin Phosphate*,2019,\N,\N,\N,\N,\N,\N,\N,\N
J0737_2019,"Injection, clindamycin phosphate (baxter), not therapeutically equivalent to j0736, 300 mg",Clindamycin Phosphate-D5W*,Clindamycin Phosphate/D5W*,2019,\N,\N,\N,\N,\N,\N,\N,\N
J0740_2019,"Injection, cidofovir, 375 mg",Cidofovir,Cidofovir,2019,769570.74,1579.0,301.0,487.37855605,597.49281056,2556.7134219,1288.0,0.0
J0741_2019,"Injection, cabotegravir and rilpivirine, 2mg/3mg",Cabenuva,Cabotegravir/Rilpivirine,2019,\N,\N,\N,\N,\N,\N,\N,\N
J0743_2019,"Injection, cilastatin sodium; imipenem, per 250 mg",Imipenem-Cilastatin Sodium*,Imipenem/Cilastatin Sodium*,2019,127158.68,20265.0,127.0,6.2747929928,53.36075535,1001.2494488,2383.0,0.0
